,NGA,RelTime,SPC1,PolPop,PolTerr,CapPop,levels,government,infrastr,writing,texts,money
128,Susiana,5000,0.818716171,6.720159303,6.579783597,5.160658852,5.501419874,0.709090909,0.9875,0.828571429,1.0,2.934952436
129,Susiana,5100,0.872745656,7.69019608,6.740362689,5.176091259,6.115641599,0.827272727,0.881818182,0.828571429,0.9875,5.0
130,Susiana,5200,0.812769721,6.766648855,6.255272505,4.880255212,5.092885197,0.744444444,0.85,0.828571429,0.9625,5.0
131,Susiana,5300,0.839888365,6.954242509,6.431363764,5.301029996,5.53002117,0.809090909,0.825,0.842857143,1.0,5.0
132,Susiana,5400,0.839888365,6.954242509,6.431363764,5.301029996,5.53002117,0.809090909,0.825,0.842857143,1.0,5.0
133,Deccan,-2400,0.155156678,2.731671917,2.649571367,3.150523563,0.666666667,0.1,0.175,0.1,0.1,0.9
134,Deccan,-2300,0.155156678,2.731671917,2.649571367,3.150523563,0.666666667,0.1,0.175,0.1,0.1,0.9
135,Deccan,-2200,0.155156678,2.731671917,2.649571367,3.150523563,0.666666667,0.1,0.175,0.1,0.1,0.9
136,Deccan,-2100,0.155156678,2.731671917,2.649571367,3.150523563,0.666666667,0.1,0.175,0.1,0.1,0.9
137,Deccan,-2000,0.155156678,2.731671917,2.649571367,3.150523563,0.666666667,0.1,0.175,0.1,0.1,0.9
138,Deccan,-1900,0.155156678,2.731671917,2.649571367,3.150523563,0.666666667,0.1,0.175,0.1,0.1,0.9
139,Deccan,-1800,0.155156678,2.731671917,2.649571367,3.150523563,0.666666667,0.1,0.175,0.1,0.1,0.9
140,Deccan,-1700,0.155156678,2.731671917,2.649571367,3.150523563,0.666666667,0.1,0.175,0.1,0.1,0.9
141,Deccan,-1600,0.155156678,2.731671917,2.649571367,3.150523563,0.666666667,0.1,0.175,0.1,0.1,0.9
142,Deccan,-1500,0.155156678,2.731671917,2.649571367,3.150523563,0.666666667,0.1,0.175,0.1,0.1,0.9
143,Deccan,-1400,0.155156678,2.731671917,2.649571367,3.150523563,0.666666667,0.1,0.175,0.1,0.1,0.9
144,Deccan,-1300,0.155156678,2.731671917,2.649571367,3.150523563,0.666666667,0.1,0.175,0.1,0.1,0.9
145,Deccan,-1200,0.155156678,2.731671917,2.649571367,3.150523563,0.666666667,0.1,0.175,0.1,0.1,0.9
146,Deccan,-1100,0.155156678,2.731671917,2.649571367,3.150523563,0.666666667,0.1,0.175,0.1,0.1,0.9
147,Deccan,-1000,0.155156678,2.731671917,2.649571367,3.150523563,0.666666667,0.1,0.175,0.1,0.1,0.9
148,Deccan,-900,0.19601325,2.88219596,1.45245181,2.750974736,1.0,0.1,0.388888889,0.233333333,0.1,0.9
149,Deccan,-800,0.19601325,2.88219596,1.45245181,2.750974736,1.0,0.1,0.388888889,0.233333333,0.1,0.9
150,Deccan,-700,0.19601325,2.88219596,1.45245181,2.750974736,1.0,0.1,0.388888889,0.233333333,0.1,0.9
151,Deccan,-600,0.270681727,4.065630225,4.132253684,3.43955943,1.467170232,0.1,0.388888889,0.233333333,0.1,0.9
152,Deccan,-500,0.270681727,4.065630225,4.132253684,3.43955943,1.467170232,0.1,0.388888889,0.233333333,0.1,0.9
153,Deccan,-400,0.270681727,4.065630225,4.132253684,3.43955943,1.467170232,0.1,0.388888889,0.233333333,0.1,0.9
154,Deccan,-300,0.270681727,4.065630225,4.132253684,3.43955943,1.467170232,0.1,0.388888889,0.233333333,0.1,0.9
155,Deccan,-200,0.309011591,4.352501164,4.034543064,3.857822,2.0,0.1,0.388888889,0.233333333,0.1,0.9
156,Deccan,-100,0.309011591,4.352501164,4.034543064,3.857822,2.0,0.1,0.388888889,0.233333333,0.1,0.9
157,Deccan,0,0.865241805,7.255272505,6.602059991,5.431363764,6.0,0.8,0.966666667,0.816666667,0.971428571,5.0
158,Deccan,100,0.309011591,4.352501164,4.034543064,3.857822,2.0,0.1,0.388888889,0.233333333,0.1,0.9
159,Deccan,200,0.772670602,6.894929782,6.097952672,4.924279286,4.400534247,0.581818182,0.777777778,0.975,0.842857143,5.0
160,Deccan,300,0.773019348,6.871929224,6.097952672,4.924279286,4.400534247,0.581818182,0.777777778,0.975,0.842857143,5.0
161,Deccan,400,0.773918073,6.918139358,6.097952672,4.924279286,4.400534247,0.581818182,0.777777778,0.975,0.842857143,5.0
162,Deccan,500,0.775743407,6.929612322,6.179157091,4.924279286,4.400534247,0.581818182,0.777777778,0.975,0.842857143,5.0
163,Deccan,600,0.784964952,6.83906131,5.971303778,4.798594766,4.957815709,0.8625,0.666666667,0.78,0.983333333,5.0
164,Deccan,800,0.722242598,5.809260812,4.907332191,4.168930777,5.172269485,0.625,0.7125,0.925,0.94,5.0
165,Deccan,900,0.804720855,6.452746054,5.875061263,4.84509804,4.989084762,0.9,0.744444444,0.975,0.95,5.0
