,NGA,RelTime,SPC1,PolPop,PolTerr,CapPop,levels,government,infrastr,writing,texts,money
175,Middle Yellow River Valley,0,0.574085666,3.739693039,4.320551624,4.423140729,3.706065688,0.5125,0.6,0.76,0.9,2.0
176,Middle Yellow River Valley,100,0.574085666,3.739693039,4.320551624,4.423140729,3.706065688,0.5125,0.6,0.76,0.9,2.0
177,Middle Yellow River Valley,200,0.655732779,6.371715316,5.564220259,5.964289906,3.627582531,0.3875,0.685714286,0.7,0.9,1.8
178,Middle Yellow River Valley,300,0.655732779,6.371715316,5.564220259,5.964289906,3.627582531,0.3875,0.685714286,0.7,0.9,1.8
179,Middle Yellow River Valley,400,0.655732779,6.371715316,5.564220259,5.964289906,3.627582531,0.3875,0.685714286,0.7,0.9,1.8
180,Middle Yellow River Valley,500,0.655732779,6.371715316,5.564220259,5.964289906,3.627582531,0.3875,0.685714286,0.7,0.9,1.8
181,Middle Yellow River Valley,600,0.702887738,6.698970004,6.0,4.650020018,4.043613377,0.555555556,0.828571429,0.8,0.9,2.7
182,Middle Yellow River Valley,700,0.747458328,6.842433646,5.929418926,4.769397027,5.291640987,0.855555556,0.844444444,0.8,0.95,2.0
183,Middle Yellow River Valley,800,0.749939028,6.698970004,5.929418926,5.0,5.291640987,0.855555556,0.844444444,0.8,0.95,2.0
184,Middle Yellow River Valley,900,0.75958865,7.061861027,5.929418926,5.096910013,5.291640987,0.855555556,0.844444444,0.8,0.95,2.0
185,Middle Yellow River Valley,1000,0.762132679,7.130333768,5.929418926,5.096910013,5.291640987,0.855555556,0.844444444,0.8,0.95,2.0
186,Niger Inland Delta,-900,0.201993575,3.377552007,2.968440728,3.162425793,1.548512019,0.081818182,0.158333333,0.166666667,0.0125,0.9
187,Niger Inland Delta,-800,0.201993575,3.377552007,2.968440728,3.162425793,1.548512019,0.081818182,0.158333333,0.166666667,0.0125,0.9
188,Niger Inland Delta,-700,0.201993575,3.377552007,2.968440728,3.162425793,1.548512019,0.081818182,0.158333333,0.166666667,0.0125,0.9
189,Niger Inland Delta,-600,0.302211858,4.146228763,3.041392685,3.868166742,2.322311347,0.081818182,0.6,0.166666667,0.0125,0.9
190,Niger Inland Delta,-500,0.302211858,4.146228763,3.041392685,3.868166742,2.322311347,0.081818182,0.6,0.166666667,0.0125,0.9
191,Niger Inland Delta,-400,0.302211858,4.146228763,3.041392685,3.868166742,2.322311347,0.081818182,0.6,0.166666667,0.0125,0.9
192,Niger Inland Delta,-300,0.302211858,4.146228763,3.041392685,3.868166742,2.322311347,0.081818182,0.6,0.166666667,0.0125,0.9
193,Niger Inland Delta,-200,0.302211858,4.146228763,3.041392685,3.868166742,2.322311347,0.081818182,0.6,0.166666667,0.0125,0.9
194,Niger Inland Delta,-100,0.378760295,4.427690558,3.041392685,4.281617818,1.791366077,0.081818182,0.6,0.166666667,0.0,3.6
195,Niger Inland Delta,0,0.552919092,6.070539143,5.56801973,4.266649531,3.814868506,0.618181818,0.645454545,0.166666667,0.0,5.0
196,Niger Inland Delta,100,0.707377982,6.027733593,5.566364276,4.231998538,3.943590574,0.809090909,0.72,0.816666667,0.96,4.5
197,Niger Inland Delta,200,0.707377982,6.027733593,5.566364276,4.231998538,3.943590574,0.809090909,0.72,0.816666667,0.96,4.5
198,Niger Inland Delta,300,0.718474537,6.663581221,6.254681692,4.159032125,4.247154682,0.6,0.7,0.8,0.983333333,4.5
199,Niger Inland Delta,400,0.720930119,6.663581221,6.254681692,4.159032125,4.247154682,0.59,0.7,0.8,0.983333333,4.5
200,Niger Inland Delta,500,0.767729211,6.631866762,5.813228741,4.77815125,4.828849002,0.709090909,0.866666667,0.8,0.975,4.5
201,Niger Inland Delta,600,0.816770181,6.402161624,5.677606953,4.84509804,5.0,0.966666667,0.95,0.98,0.9625,4.5
202,Niger Inland Delta,700,0.816770181,6.402161624,5.677606953,4.84509804,5.0,0.966666667,0.95,0.98,0.9625,4.5
203,Ghanaian Coast,0,0.623383502,6.599659588,5.796741471,4.130333768,5.333333333,0.454545455,0.408333333,1.0,0.375,3.0
204,Iceland,-300,0.337468168,4.380242342,5.012837225,2.399056977,2.333333333,0.122222222,0.0,0.6,0.0125,4.0
205,Iceland,-200,0.404175293,4.491361694,5.012837225,2.399056977,2.666666667,0.233333333,0.0,0.8,0.3625,4.0
206,Iceland,-100,0.473477614,4.547767422,5.012837225,2.399056977,2.666666667,0.233333333,0.0,1.0,0.9875,4.0
207,Iceland,0,0.528582535,4.712629374,5.012837225,2.438865198,3.666666667,0.554545455,0.016666667,1.0,0.9875,4.0
