,NGA,RelTime,SPC1
585,Central Java,200,0.675778444
586,Central Java,300,0.713342492
587,Central Java,400,0.725270514
588,Central Java,500,0.788712149
589,Central Java,600,0.788712149
590,Central Java,700,0.788712149
591,Central Java,800,0.776242529
592,Central Java,900,0.776242529
593,Middle Yellow River Valley,-3200,0.224902441
594,Middle Yellow River Valley,-3100,0.224902441
595,Middle Yellow River Valley,-3000,0.224902441
596,Middle Yellow River Valley,-2900,0.224902441
597,Middle Yellow River Valley,-2800,0.224902441
598,Middle Yellow River Valley,-2700,0.224902441
599,Middle Yellow River Valley,-2600,0.224902441
600,Middle Yellow River Valley,-2500,0.224902441
601,Middle Yellow River Valley,-2400,0.224902441
602,Middle Yellow River Valley,-2300,0.224902441
603,Middle Yellow River Valley,-2200,0.224902441
604,Middle Yellow River Valley,-2100,0.224902441
605,Middle Yellow River Valley,-2000,0.224902441
606,Middle Yellow River Valley,-1900,0.224902441
607,Middle Yellow River Valley,-1800,0.224902441
608,Middle Yellow River Valley,-1700,0.224902441
609,Middle Yellow River Valley,-1600,0.224902441
610,Middle Yellow River Valley,-1500,0.224902441
611,Middle Yellow River Valley,-1400,0.224902441
612,Middle Yellow River Valley,-1300,0.224902441
613,Middle Yellow River Valley,-1200,0.4876171
614,Middle Yellow River Valley,-1100,0.4876171
615,Middle Yellow River Valley,-1000,0.4876171
616,Middle Yellow River Valley,-900,0.4876171
617,Middle Yellow River Valley,-800,0.4876171
618,Middle Yellow River Valley,-700,0.4876171
619,Middle Yellow River Valley,-600,0.4876171
620,Middle Yellow River Valley,-500,0.4876171
621,Middle Yellow River Valley,-400,0.4876171
622,Middle Yellow River Valley,-300,0.4876171
623,Middle Yellow River Valley,-200,0.4876171
624,Middle Yellow River Valley,-100,0.4876171
625,Middle Yellow River Valley,0,0.574085666
626,Middle Yellow River Valley,100,0.574085666
627,Middle Yellow River Valley,200,0.655732779
628,Middle Yellow River Valley,300,0.655732779
629,Middle Yellow River Valley,400,0.655732779
630,Middle Yellow River Valley,500,0.655732779
631,Middle Yellow River Valley,600,0.702887738
632,Middle Yellow River Valley,700,0.747458328
633,Middle Yellow River Valley,800,0.749939028
634,Middle Yellow River Valley,900,0.75958865
635,Middle Yellow River Valley,1000,0.762132679
636,Middle Yellow River Valley,1100,0.704473279
637,Middle Yellow River Valley,1200,0.704473279
638,Middle Yellow River Valley,1300,0.704473279
639,Middle Yellow River Valley,1400,0.731670058
640,Middle Yellow River Valley,1500,0.771016729
641,Middle Yellow River Valley,1600,0.895104819
642,Middle Yellow River Valley,1700,0.900683872
643,Middle Yellow River Valley,1800,0.90133807
644,Middle Yellow River Valley,1900,0.89659903
645,Middle Yellow River Valley,2000,0.848069228
646,Middle Yellow River Valley,2100,0.890541465
647,Middle Yellow River Valley,2200,0.825947414
648,Middle Yellow River Valley,2300,0.849547752
649,Middle Yellow River Valley,2400,0.864402179
650,Middle Yellow River Valley,2500,0.906258508
651,Middle Yellow River Valley,2600,0.892096251
652,Middle Yellow River Valley,2700,0.889191581
653,Middle Yellow River Valley,2800,0.971185143
654,Middle Yellow River Valley,2900,0.977846624
655,Middle Yellow River Valley,3000,0.913159337
656,Middle Yellow River Valley,3100,0.963722822
657,Middle Yellow River Valley,3200,0.898061339
658,Middle Yellow River Valley,3300,0.916773364
659,Middle Yellow River Valley,3400,0.930700487
660,Middle Yellow River Valley,3500,0.984760459
661,Middle Yellow River Valley,3600,0.992244568
662,Middle Yellow River Valley,3700,0.996386254
663,Kachi Plain,-5000,0.157367633
664,Kachi Plain,-4900,0.157367633
665,Kachi Plain,-4800,0.157367633
666,Kachi Plain,-4700,0.157367633
667,Kachi Plain,-4600,0.157367633
668,Kachi Plain,-4500,0.157367633
669,Kachi Plain,-4400,0.157367633
670,Kachi Plain,-4300,0.157367633
671,Kachi Plain,-4200,0.157367633
672,Kachi Plain,-4100,0.157367633
673,Kachi Plain,-4000,0.157367633
674,Kachi Plain,-3900,0.157367633
675,Kachi Plain,-3800,0.157367633
676,Kachi Plain,-3700,0.157367633
677,Kachi Plain,-3600,0.157367633
678,Kachi Plain,-3500,0.157367633
679,Kachi Plain,-3400,0.157367633
680,Kachi Plain,-3300,0.157367633
681,Kachi Plain,-3200,0.157367633
682,Kachi Plain,-3100,0.157367633
683,Kachi Plain,-3000,0.153641968
684,Kachi Plain,-2900,0.153641968
685,Kachi Plain,-2800,0.153641968
686,Kachi Plain,-2700,0.153641968
687,Kachi Plain,-2600,0.153641968
688,Kachi Plain,-2500,0.153641968
689,Kachi Plain,-2400,0.153641968
690,Kachi Plain,-2300,0.153641968
691,Kachi Plain,-2200,0.153641968
692,Kachi Plain,-2100,0.153641968
693,Kachi Plain,-2000,0.153641968
694,Kachi Plain,-1900,0.153641968
695,Kachi Plain,-1800,0.153641968
696,Kachi Plain,-1700,0.153641968
697,Kachi Plain,-1600,0.153641968
698,Kachi Plain,-1500,0.237159943
699,Kachi Plain,-1400,0.237159943
700,Kachi Plain,-1300,0.237159943
701,Kachi Plain,-1200,0.237159943
702,Kachi Plain,-1100,0.237159943
703,Kachi Plain,-1000,0.237159943
704,Kachi Plain,-900,0.237159943
705,Kachi Plain,-800,0.237159943
706,Kachi Plain,-700,0.242889678
707,Kachi Plain,-600,0.242889678
708,Kachi Plain,-500,0.242889678
709,Kachi Plain,-400,0.242889678
710,Kachi Plain,-300,0.242889678
711,Kachi Plain,-200,0.242889678
712,Kachi Plain,-100,0.242889678
713,Kachi Plain,0,0.679867383
714,Kachi Plain,100,0.679867383
715,Kachi Plain,200,0.679867383
716,Kachi Plain,300,0.679867383
717,Kachi Plain,400,0.679867383
718,Kachi Plain,500,0.679867383
719,Kachi Plain,600,0.679867383
720,Kachi Plain,700,0.25563096
721,Kachi Plain,800,0.25563096
722,Kachi Plain,900,0.25563096
723,Kachi Plain,1000,0.25563096
724,Kachi Plain,1100,0.25563096
725,Kachi Plain,1200,0.276091959
726,Kachi Plain,1300,0.276091959
727,Kachi Plain,1400,0.276091959
728,Kachi Plain,1500,0.276091959
729,Kachi Plain,1600,0.276091959
730,Kachi Plain,1700,0.276091959
731,Kachi Plain,1800,0.276091959
732,Kachi Plain,1900,0.276091959
733,Kachi Plain,2000,0.887021376
734,Kachi Plain,2100,0.884931562
735,Kachi Plain,2200,0.865241805
736,Kachi Plain,2300,0.865241805
737,Kachi Plain,2400,0.761260892
738,Kachi Plain,2500,0.836338546
739,Kachi Plain,2600,0.810552424
